,Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_inch,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_pounds,Price,Price-binned,Screen_Full_HD,Screen_IPS_panel
0,0,Acer,4,2,1,5,14.0,0.5517241379310345,8,256,3.5280000000000005,978,low,False,True
1,1,Dell,3,1,1,3,15.598425196850393,0.6896551724137931,4,256,4.851000000000001,634,low,True,False
2,2,Dell,3,1,1,7,15.598425196850393,0.9310344827586208,8,256,4.851000000000001,946,low,True,False
3,3,Dell,4,2,1,5,13.299212598425196,0.5517241379310345,8,128,2.6901,1244,low,False,True
4,4,HP,4,2,1,7,15.598425196850393,0.6206896551724138,8,256,4.21155,837,low,True,False
5,5,Dell,3,1,1,5,15.598425196850393,0.5517241379310345,8,256,4.851000000000001,1016,low,True,False
6,6,HP,3,3,1,5,15.598425196850393,0.5517241379310345,8,256,4.6305000000000005,1117,low,True,False
7,7,Acer,3,2,1,5,15.0,0.5517241379310345,4,256,4.851000000000001,866,low,False,True
8,8,Dell,3,1,1,5,15.598425196850393,0.8620689655172414,4,256,5.0714999999999995,812,low,True,False
9,9,Acer,3,3,1,7,15.0,0.6206896551724138,8,256,4.851000000000001,1068,low,False,True
10,10,Dell,3,1,1,7,15.598425196850393,0.6206896551724138,8,256,4.69665,975,low,True,False
11,11,HP,3,2,1,3,15.598425196850393,0.6896551724137931,4,128,4.21155,558,low,True,False
12,12,Asus,3,2,2,3,15.598425196850393,0.6896551724137931,4,256,4.41,527,low,True,False
13,13,Dell,4,2,1,5,14.0,0.5517241379310345,8,256,3.7485,1117,low,True,False
14,14,Asus,3,2,1,5,14.0,0.5517241379310345,8,256,3.0869999999999997,1195,low,True,False
15,15,HP,3,2,1,5,15.598425196850393,0.8620689655172414,8,256,4.1013,876,low,True,False
16,16,Dell,4,1,1,7,13.000000000000002,0.6206896551724138,8,256,3.0869999999999997,1213,low,False,True
17,17,Dell,3,1,1,7,15.598425196850393,0.6206896551724138,8,256,4.851000000000001,1105,low,True,False
18,18,Dell,4,2,1,5,15.0,0.5517241379310345,8,256,4.1453999999999995,1392,low,False,True
19,19,HP,3,2,1,5,14.0,0.5517241379310345,8,256,3.59415,1092,low,True,False
20,20,HP,4,3,1,7,15.0,0.6206896551724138,8,256,4.035150000000001,888,low,False,True
21,21,HP,3,2,1,5,15.598425196850393,0.8620689655172414,8,256,4.3218,761,low,True,False
22,22,Dell,4,2,1,7,13.000000000000002,0.6206896551724138,8,256,2.66805,2095,medium,False,True
23,23,Dell,1,3,1,5,15.598425196850393,0.8620689655172414,8,256,5.84325,1518,low,True,False
24,24,Asus,4,2,1,7,14.0,0.9310344827586208,8,256,2.75625,1333,low,True,False
25,25,Dell,3,1,2,3,15.598425196850393,0.6896551724137931,4,256,4.851000000000001,616,low,True,False
26,26,Asus,3,3,1,3,15.598425196850393,0.8275862068965517,6,256,4.41,733,low,True,False
27,27,HP,3,1,1,7,15.598425196850393,0.9310344827586208,8,256,4.21155,913,low,True,False
28,28,HP,4,3,1,7,13.000000000000002,0.9310344827586208,8,256,3.0429,1421,low,False,True
29,29,HP,3,3,1,5,14.0,0.8620689655172414,6,256,4.106221030042918,837,low,False,True
30,30,Asus,4,3,1,7,14.0,0.9310344827586208,8,256,2.8665000000000003,1515,low,False,True
31,31,Lenovo,3,2,1,7,14.0,0.9310344827586208,8,256,3.4839,1880,medium,False,True
32,32,Dell,4,2,1,5,13.000000000000002,0.5517241379310345,8,256,2.66805,2069,medium,False,True
33,33,Asus,3,3,1,7,15.598425196850393,0.6206896551724138,8,256,3.7485,1420,low,True,False
34,34,HP,3,2,1,5,17.299212598425196,0.5517241379310345,8,256,5.5125,1179,low,True,False
35,35,Acer,4,2,1,7,14.0,0.6206896551724138,8,256,3.5280000000000005,1123,low,False,True
36,36,Acer,3,3,1,3,15.598425196850393,0.9310344827586208,4,256,4.851000000000001,727,low,True,False
37,37,HP,3,2,1,7,14.0,0.6206896551724138,8,256,3.59415,1255,low,True,False
38,38,HP,3,2,1,5,13.000000000000002,0.8620689655172414,4,256,4.106221030042918,888,low,False,True
39,39,Lenovo,3,1,1,5,14.0,0.5517241379310345,8,256,3.85875,1418,low,False,True
40,40,Asus,4,2,1,7,14.0,0.6206896551724138,8,256,2.75625,1396,low,True,False
41,41,HP,4,2,1,5,14.0,0.9310344827586208,4,256,3.2634,1374,low,True,False
42,42,HP,3,1,1,5,15.598425196850393,0.5517241379310345,6,256,4.21155,786,low,True,False
43,43,Acer,3,3,1,5,17.0,0.5517241379310345,4,256,6.615,1023,low,False,True
44,44,Dell,3,1,1,5,15.598425196850393,0.5517241379310345,8,256,4.69665,925,low,True,False
45,45,Lenovo,1,3,1,7,15.0,0.9655172413793103,16,256,5.5125,1371,low,False,True
46,46,Acer,3,3,1,5,17.0,0.5517241379310345,8,256,6.615,1085,low,False,True
47,47,Huawei,4,2,1,5,13.000000000000002,0.8620689655172414,8,256,2.3152500000000003,1714,medium,False,True
48,48,HP,3,3,1,5,17.299212598425196,0.5517241379310345,8,256,5.5125,1172,low,True,False
49,49,Dell,4,2,1,5,13.299212598425196,0.5517241379310345,8,256,4.106221030042918,1777,medium,True,False
50,50,Acer,4,2,1,5,13.000000000000002,0.41379310344827586,8,256,2.4696000000000002,1256,low,False,True
51,51,HP,3,3,1,7,17.299212598425196,0.6206896551724138,8,256,5.5125,1327,low,True,False
52,52,Dell,4,2,1,7,13.299212598425196,0.6206896551724138,8,256,2.646,1841,medium,True,False
53,53,Dell,4,1,1,7,13.000000000000002,0.6206896551724138,8,256,3.0869999999999997,1184,low,False,True
54,54,HP,3,3,1,7,14.0,0.6206896551724138,8,256,3.59415,1310,low,True,False
55,55,Dell,4,2,1,5,14.0,0.5517241379310345,8,256,3.5280000000000005,1460,low,True,False
56,56,Dell,3,1,2,5,15.598425196850393,0.5517241379310345,8,256,4.851000000000001,860,low,True,False
57,57,Toshiba,4,2,1,7,13.299212598425196,0.8620689655172414,8,256,2.646,1731,medium,True,False
58,58,Acer,3,3,1,7,15.598425196850393,0.9310344827586208,8,256,4.851000000000001,1057,low,True,False
59,59,Asus,3,3,1,5,15.598425196850393,0.8620689655172414,8,256,4.41,977,low,True,False
60,60,Dell,3,2,1,5,14.0,0.8620689655172414,8,256,3.5280000000000005,1091,low,True,False
61,61,Dell,3,1,2,7,15.598425196850393,0.9310344827586208,16,256,4.106221030042918,1142,low,True,False
62,62,Acer,1,3,1,5,15.0,0.8620689655172414,8,256,5.5125,1075,low,False,True
63,63,Dell,1,3,1,5,15.598425196850393,0.8620689655172414,8,256,5.6448,1117,low,True,False
64,64,Asus,1,3,1,7,17.299212598425196,1.0,16,256,7.938000000000001,3810,high,True,False
65,65,Acer,3,3,1,3,17.0,0.9310344827586208,4,256,6.615,892,low,False,True
66,66,Dell,4,2,1,5,13.299212598425196,0.5517241379310345,8,256,3.10905,1206,low,True,False
67,67,Lenovo,3,2,1,7,15.598425196850393,0.6206896551724138,8,256,4.52025,1118,low,True,False
68,68,Dell,3,1,2,7,15.598425196850393,0.6206896551724138,8,256,4.106221030042918,934,low,True,False
69,69,Lenovo,1,3,1,5,15.0,0.8620689655172414,8,256,5.5125,1053,low,False,True
70,70,Lenovo,3,2,1,5,15.598425196850393,0.8620689655172414,6,256,4.851000000000001,735,low,True,False
71,71,Acer,3,3,1,7,15.0,0.6206896551724138,8,256,6.615,1208,low,False,True
72,72,Lenovo,3,2,1,7,15.0,0.9310344827586208,8,256,4.29975,1394,low,False,True
73,73,Asus,4,3,1,5,15.598425196850393,0.8620689655172414,8,256,3.7485,1241,low,True,False
74,74,Dell,3,3,1,7,15.598425196850393,0.9655172413793103,8,256,4.41,2323,medium,True,False
75,75,Lenovo,3,2,1,5,15.598425196850393,0.5517241379310345,8,256,4.52025,939,low,True,False
76,76,Acer,3,3,2,7,15.598425196850393,0.9655172413793103,8,256,5.5125,1244,low,True,False
77,77,Dell,5,3,1,7,17.299212598425196,1.0,16,256,7.5411,3665,high,True,False
78,78,Toshiba,3,3,1,7,15.0,0.8620689655172414,8,256,4.851000000000001,1325,low,False,True
79,79,Lenovo,3,2,1,5,13.000000000000002,0.8620689655172414,8,256,2.4255000000000004,1269,low,False,True
80,80,HP,3,2,1,5,14.0,0.8620689655172414,8,256,4.29975,1245,low,True,False
81,81,HP,3,2,1,7,14.0,0.9310344827586208,8,256,3.2634,1641,medium,True,False
82,82,Asus,3,2,1,7,14.0,0.9310344827586208,8,256,4.41,1390,low,True,False
83,83,Asus,4,3,1,7,15.598425196850393,0.9310344827586208,8,256,3.7485,1334,low,True,False
84,84,HP,4,2,1,7,12.5,0.9310344827586208,8,256,2.7783,1696,medium,True,False
85,85,Toshiba,3,2,1,5,15.0,0.8620689655172414,8,256,4.41,1198,low,False,True
86,86,Asus,1,3,1,7,15.598425196850393,0.9655172413793103,8,256,5.5125,1269,low,True,False
87,87,HP,3,2,1,5,14.0,0.896551724137931,8,256,3.2634,1611,low,True,False
88,88,HP,3,2,1,5,15.598425196850393,0.8620689655172414,8,256,4.0572,1453,low,True,False
89,89,Dell,3,3,1,5,15.598425196850393,0.5517241379310345,8,256,4.41,1452,low,True,False
90,90,Dell,4,2,1,7,13.299212598425196,0.6206896551724138,8,256,2.646,2006,medium,True,False
91,91,HP,3,2,1,7,15.598425196850393,0.9310344827586208,8,256,4.0572,1656,medium,True,False
92,92,HP,5,3,1,7,15.598425196850393,0.9655172413793103,8,256,5.7330000000000005,2208,medium,True,False
93,93,Dell,3,2,1,5,14.0,0.896551724137931,8,256,2.9988,1813,medium,True,False
94,94,Asus,3,2,1,5,14.0,0.8620689655172414,8,256,4.41,1200,low,True,False
95,95,Dell,3,1,1,7,15.598425196850393,0.9310344827586208,8,256,5.137650000000001,1142,low,True,False
96,96,HP,4,2,1,7,14.0,0.9310344827586208,8,256,2.9988,2223,medium,False,True
97,97,Lenovo,3,3,1,5,14.0,0.8620689655172414,8,256,3.3075,1396,low,False,True
98,98,Lenovo,3,2,1,3,13.000000000000002,0.8275862068965517,4,128,3.3075,697,low,False,True
99,99,Dell,5,3,1,7,15.0,0.9310344827586208,8,256,4.41,2712,medium,False,True
100,100,MSI,1,3,1,7,17.299212598425196,0.9655172413793103,8,256,5.953500000000001,1714,medium,True,False
101,101,Dell,3,1,2,7,15.598425196850393,0.9310344827586208,8,256,5.137650000000001,989,low,True,False
102,102,Lenovo,3,1,1,7,15.0,0.6206896551724138,8,256,4.6305000000000005,1562,low,False,True
103,103,Lenovo,3,2,1,5,14.0,0.8620689655172414,8,256,4.1895,1192,low,False,True
104,104,Acer,3,3,2,7,15.598425196850393,0.9655172413793103,8,256,5.5125,1117,low,True,False
105,105,Dell,3,1,2,5,15.598425196850393,0.8620689655172414,4,256,5.0714999999999995,761,low,True,False
106,106,HP,4,2,1,7,14.0,0.8620689655172414,8,256,3.15315,1905,medium,True,False
107,107,Lenovo,4,1,1,7,14.0,0.6206896551724138,8,256,3.85875,1544,low,False,True
108,108,HP,3,2,1,7,15.598425196850393,1.0,8,256,5.0935500000000005,1813,medium,True,False
109,109,Dell,4,2,2,7,14.0,0.9655172413793103,8,256,3.5280000000000005,1396,low,True,False
110,110,Lenovo,3,2,1,7,13.000000000000002,0.9310344827586208,8,256,3.0869999999999997,1283,low,False,True
111,111,Lenovo,3,2,1,3,14.0,0.9310344827586208,4,128,3.7485,761,low,False,True
112,112,Asus,3,2,2,5,15.598425196850393,0.8620689655172414,4,256,4.41,710,low,True,False
113,113,Dell,3,1,1,5,15.598425196850393,0.5517241379310345,4,256,4.851000000000001,951,low,True,False
114,114,Lenovo,4,2,1,5,12.0,0.8620689655172414,8,256,2.9988,1815,medium,False,True
115,115,Dell,3,3,1,5,14.0,0.9655172413793103,8,256,3.6162,1498,low,True,False
116,116,MSI,1,3,1,5,15.598425196850393,0.8620689655172414,8,256,4.851000000000001,1306,low,True,False
117,117,Dell,5,3,1,7,15.0,0.9310344827586208,16,256,4.78485,2509,medium,False,True
118,118,Lenovo,3,2,1,5,14.0,0.8620689655172414,8,256,3.6382499999999998,1709,medium,True,False
119,119,Lenovo,3,3,1,7,15.598425196850393,1.0,8,256,5.88735,2655,medium,True,False
120,120,Dell,4,2,1,5,15.598425196850393,0.5517241379310345,8,256,3.1311,2340,medium,True,False
121,121,Dell,5,3,1,7,15.598425196850393,0.9655172413793103,8,256,3.9249,3059,high,True,False
122,122,Toshiba,3,2,1,5,13.000000000000002,0.8620689655172414,8,256,2.3152500000000003,2124,medium,False,True
123,123,HP,3,2,1,5,13.000000000000002,0.5517241379310345,4,128,3.28545,922,low,False,True
124,124,Lenovo,3,2,1,5,14.0,0.5517241379310345,8,256,3.85875,1333,low,False,True
125,125,Lenovo,3,3,1,5,15.0,0.8620689655172414,8,256,5.0714999999999995,1286,low,False,True
126,126,Lenovo,3,2,1,7,15.598425196850393,0.6206896551724138,8,256,4.78485,1142,low,True,False
127,127,Lenovo,3,2,1,3,13.000000000000002,0.8275862068965517,8,256,3.0869999999999997,1206,low,False,True
128,128,Lenovo,3,2,1,5,15.0,0.8620689655172414,8,256,5.0714999999999995,1157,low,False,True
129,129,Lenovo,3,2,1,5,13.299212598425196,0.8620689655172414,8,256,3.1752,1206,low,True,False
130,130,Dell,4,2,1,5,13.299212598425196,0.8620689655172414,8,128,2.84445,1142,low,False,True
131,131,HP,3,3,1,5,15.598425196850393,0.8620689655172414,8,256,4.498200000000001,1129,low,True,False
132,132,HP,4,2,1,7,13.000000000000002,0.9310344827586208,8,256,2.9106,1777,medium,False,True
133,133,Dell,3,2,1,5,14.0,0.896551724137931,8,256,3.6162,1626,medium,True,False
134,134,Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,4.4541,1702,medium,True,False
135,135,Dell,3,2,1,5,15.598425196850393,0.9655172413793103,8,256,4.1895,1749,medium,True,False
136,136,Dell,3,3,1,7,15.598425196850393,0.9655172413793103,8,256,4.25565,1739,medium,True,False
137,137,Dell,3,1,1,5,15.598425196850393,0.5517241379310345,8,256,4.851000000000001,1013,low,True,False
138,138,Lenovo,3,3,1,7,14.0,0.9310344827586208,8,256,4.12335,1091,low,False,True
139,139,Dell,3,2,1,3,14.0,0.6896551724137931,4,128,3.5280000000000005,935,low,True,False
140,140,HP,3,2,1,3,15.598425196850393,0.8275862068965517,4,128,4.6305000000000005,896,low,True,False
141,141,Lenovo,3,2,1,3,15.598425196850393,0.6896551724137931,4,128,4.851000000000001,634,low,True,False
142,142,Dell,3,2,1,5,15.598425196850393,0.8620689655172414,8,256,4.1895,1419,low,True,False
143,143,Lenovo,3,2,1,3,15.598425196850393,0.9310344827586208,4,128,4.52025,800,low,True,False
144,144,Lenovo,3,3,1,7,17.0,0.9655172413793103,8,256,7.497,3810,high,False,True
145,145,Lenovo,3,2,1,5,15.598425196850393,0.8620689655172414,8,256,5.0714999999999995,1054,low,True,False
146,146,Dell,3,1,2,7,15.598425196850393,0.9310344827586208,8,256,4.851000000000001,951,low,True,False
147,147,HP,3,2,1,3,13.299212598425196,0.8275862068965517,4,128,3.28545,913,low,True,False
148,148,Dell,3,3,1,7,15.598425196850393,0.9655172413793103,16,256,4.25565,1953,medium,True,False
149,149,Lenovo,4,2,1,7,14.0,0.896551724137931,12,256,3.0869999999999997,2125,medium,False,True
150,150,Lenovo,3,2,1,5,14.0,0.8620689655172414,8,256,3.7485,1872,medium,False,True
151,151,Dell,5,3,1,7,15.598425196850393,0.9655172413793103,8,256,4.5423,2240,medium,True,False
152,152,HP,3,2,1,7,15.598425196850393,0.9310344827586208,8,256,4.0572,1548,low,True,False
153,153,Toshiba,3,2,1,7,15.0,0.8620689655172414,8,256,4.851000000000001,1777,medium,False,True
154,154,Dell,3,1,2,5,15.598425196850393,0.8620689655172414,4,128,4.806900000000001,723,low,True,False
155,155,Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,3.6382499999999998,1861,medium,True,False
156,156,Dell,3,3,1,7,15.598425196850393,0.9655172413793103,8,256,4.41,2312,medium,True,False
157,157,Lenovo,3,2,1,5,15.598425196850393,0.5517241379310345,4,256,3.9690000000000003,1053,low,True,False
158,158,Acer,4,2,1,5,14.0,0.8620689655172414,8,256,3.9690000000000003,1167,low,False,True
159,159,Razer,1,3,1,7,14.0,0.9655172413793103,16,256,4.29975,3301,high,True,False
160,160,Toshiba,3,2,1,5,13.299212598425196,0.793103448275862,8,256,2.646,1541,low,True,False
161,161,Lenovo,4,2,1,7,12.0,0.9310344827586208,8,256,2.9988,2012,medium,False,True
162,162,Dell,4,2,1,5,13.299212598425196,0.5517241379310345,8,256,2.646,1842,medium,True,False
163,163,Dell,3,1,1,7,15.598425196850393,0.6206896551724138,8,256,4.851000000000001,1167,low,True,False
164,164,Dell,3,2,1,5,14.0,0.8275862068965517,8,256,3.4398000000000004,1561,low,True,False
165,165,Toshiba,3,2,1,5,15.0,0.8620689655172414,8,256,4.41,1598,low,False,True
166,166,Asus,4,2,1,5,14.0,0.8620689655172414,8,256,2.4255000000000004,1442,low,True,False
167,167,Acer,1,3,1,5,15.598425196850393,0.8620689655172414,16,256,5.5125,1650,medium,True,False
168,168,MSI,1,3,1,5,15.598425196850393,0.8620689655172414,8,256,4.851000000000001,1268,low,True,False
169,169,HP,3,1,1,3,17.0,0.6896551724137931,4,256,5.5125,888,low,False,True
170,170,Lenovo,3,2,1,5,14.0,0.8620689655172414,4,256,3.7485,888,low,True,False
171,171,Toshiba,3,2,1,5,13.000000000000002,0.8620689655172414,8,256,3.3075,1236,low,False,True
172,172,Dell,3,2,1,5,15.598425196850393,0.8620689655172414,8,256,4.806900000000001,1010,low,True,False
173,173,Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,3.9690000000000003,1513,low,True,False
174,174,Dell,3,3,2,5,14.0,0.9655172413793103,8,256,3.6162,1383,low,True,False
175,175,Lenovo,3,3,1,5,14.0,0.8620689655172414,8,256,4.12335,1089,low,False,True
176,176,Dell,3,2,1,5,15.598425196850393,0.896551724137931,8,256,4.1895,1498,low,True,False
177,177,HP,3,3,1,7,17.299212598425196,0.9310344827586208,8,256,5.79915,1524,low,True,False
178,178,Lenovo,4,2,1,5,14.0,0.8620689655172414,8,256,2.9106,1904,medium,False,True
179,179,Lenovo,3,2,1,5,13.000000000000002,0.8620689655172414,8,256,3.1752,1219,low,False,True
180,180,HP,5,3,1,7,15.598425196850393,0.9655172413793103,16,256,5.7330000000000005,3073,high,True,False
181,181,Toshiba,3,2,1,5,14.0,0.8620689655172414,8,256,2.75625,1950,medium,False,True
182,182,Samsung,4,2,1,7,13.299212598425196,0.9310344827586208,16,256,1.7860500000000001,2095,medium,True,False
183,183,HP,3,2,1,3,15.598425196850393,0.6896551724137931,8,256,4.1013,685,low,True,False
184,184,HP,3,2,1,5,15.598425196850393,0.8275862068965517,8,256,4.0572,2414,medium,True,False
185,185,HP,5,3,1,7,15.598425196850393,0.896551724137931,8,256,5.7109499999999995,1983,medium,True,False
186,186,Dell,4,2,1,7,12.5,0.9655172413793103,16,256,2.6019,2361,medium,True,False
187,187,Samsung,4,2,1,7,15.598425196850393,0.9310344827586208,8,256,2.8885500000000004,2031,medium,True,False
188,188,Dell,3,1,1,7,15.598425196850393,0.9310344827586208,16,256,5.0714999999999995,1501,low,True,False
189,189,Acer,3,2,1,3,14.0,0.8275862068965517,4,128,3.9690000000000003,808,low,False,True
190,190,Dell,1,3,1,5,15.598425196850393,0.8620689655172414,8,256,5.777100000000001,1251,low,True,False
191,191,Dell,3,1,1,3,15.598425196850393,0.6896551724137931,8,256,4.41,939,low,True,False
192,192,HP,5,3,1,7,15.598425196850393,0.9655172413793103,8,256,6.9237,2623,medium,True,False
193,193,Asus,3,2,1,5,15.598425196850393,0.8620689655172414,8,256,5.22585,1396,low,True,False
194,194,Dell,4,2,1,5,13.299212598425196,0.8620689655172414,8,256,2.84445,1904,medium,True,False
195,195,Samsung,4,2,1,5,13.299212598425196,0.8620689655172414,8,256,1.7860500000000001,1904,medium,True,False
196,196,Dell,3,1,1,5,15.598425196850393,0.8620689655172414,8,256,4.806900000000001,1003,low,True,False
197,197,Lenovo,4,2,1,7,14.0,0.9310344827586208,8,256,2.9106,2361,medium,True,False
198,198,MSI,1,3,1,5,15.598425196850393,0.8620689655172414,8,256,5.292,1523,low,True,False
199,199,Acer,3,2,1,3,14.0,0.8275862068965517,8,128,3.3075,786,low,False,True
200,200,Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,3.7485,1507,low,True,False
201,201,Lenovo,3,2,1,5,14.0,0.896551724137931,8,256,2.9106,2096,medium,False,True
202,202,Dell,3,1,1,7,15.598425196850393,0.9310344827586208,4,256,4.806900000000001,939,low,True,False
203,203,Lenovo,4,3,1,7,14.0,0.9655172413793103,8,256,4.3218,2417,medium,False,True
204,204,Asus,3,3,1,7,15.0,0.9310344827586208,8,256,5.0714999999999995,1000,low,False,True
205,205,Dell,3,2,1,5,15.598425196850393,0.8620689655172414,8,128,4.1895,1200,low,True,False
206,206,HP,3,1,1,5,15.598425196850393,0.896551724137931,8,256,4.0572,1714,medium,True,False
207,207,Toshiba,3,2,1,5,13.299212598425196,0.8620689655172414,4,128,2.3152500000000003,1632,medium,True,False
208,208,Acer,3,2,1,5,14.0,0.8620689655172414,8,256,3.4398000000000004,1146,low,False,True
209,209,Toshiba,3,2,1,7,15.0,0.9310344827586208,8,256,4.41,1763,medium,False,True
210,210,Samsung,4,3,1,7,15.0,0.9310344827586208,16,256,2.71215,2349,medium,True,False
211,211,Dell,4,2,1,7,12.5,0.9655172413793103,8,256,3.5280000000000005,2147,medium,True,False
212,212,Xiaomi,4,3,1,5,13.000000000000002,0.793103448275862,8,256,2.8224,1188,low,False,True
213,213,HP,3,2,1,5,15.598425196850393,0.8620689655172414,4,256,4.498200000000001,1066,low,True,False
214,214,HP,3,2,1,5,14.0,0.8620689655172414,4,128,4.29975,1607,low,True,False
215,215,Samsung,4,2,1,7,15.0,0.9310344827586208,8,256,2.57985,2158,medium,True,False
216,216,Lenovo,4,2,1,5,14.0,0.8620689655172414,8,256,2.9106,2285,medium,False,True
217,217,Toshiba,3,2,1,5,13.299212598425196,0.8620689655172414,8,256,2.3152500000000003,1874,medium,True,False
218,218,Dell,3,2,1,5,14.0,0.9655172413793103,8,256,3.5280000000000005,1531,low,True,False
219,219,Lenovo,3,3,1,7,15.598425196850393,0.9310344827586208,6,256,4.851000000000001,1002,low,True,False
220,220,HP,3,3,1,7,15.598425196850393,0.9310344827586208,8,256,4.498200000000001,1294,low,True,False
221,221,Lenovo,3,2,1,5,13.299212598425196,0.8620689655172414,4,128,3.1752,1119,low,True,False
222,222,HP,3,2,1,5,13.299212598425196,0.8620689655172414,8,256,3.28545,1219,low,True,False
223,223,HP,4,1,1,7,15.598425196850393,0.8620689655172414,8,256,4.0572,1648,medium,True,False
224,224,Toshiba,3,3,1,7,15.0,0.896551724137931,16,256,5.292,2509,medium,False,True
225,225,Lenovo,4,2,1,7,12.0,0.9310344827586208,8,256,2.9988,2096,medium,False,True
226,226,HP,3,2,1,5,15.598425196850393,0.793103448275862,8,256,5.0935500000000005,1480,low,True,False
227,227,Toshiba,3,2,1,5,14.0,0.793103448275862,4,128,3.24135,1404,low,False,True
228,228,HP,2,2,1,5,12.5,0.793103448275862,8,256,2.7783,2120,medium,True,False
229,229,Dell,4,2,1,5,14.0,0.8620689655172414,8,256,2.9988,2082,medium,True,False
230,230,Dell,4,2,1,5,15.598425196850393,0.8620689655172414,8,256,2.9988,1870,medium,True,False
231,231,Dell,4,2,1,7,14.0,0.9655172413793103,8,256,2.9988,2255,medium,True,False
232,232,Toshiba,3,2,1,5,13.299212598425196,0.793103448275862,8,256,2.646,1855,medium,True,False
233,233,Lenovo,4,2,1,7,14.0,0.896551724137931,8,256,3.7485,1891,medium,False,True
234,234,Toshiba,3,2,1,5,13.299212598425196,0.8275862068965517,8,256,2.646,1950,medium,True,False
235,235,Lenovo,4,2,1,5,12.0,0.896551724137931,8,256,2.9988,2236,medium,False,True
236,236,Lenovo,3,3,1,5,15.598425196850393,0.8620689655172414,6,256,5.292,883,low,True,False
237,237,Toshiba,3,2,1,5,14.0,0.793103448275862,8,256,4.29975,1499,low,True,False
